sheet,row,field,kind,input_type,normal_value,notes,template,mapped_r,map_status
URINE- Clinical Microscopy,2,PATIENT INFORMATION,section_header,,,,URINE,,
URINE- Clinical Microscopy,3,Name,patient_header,Manual Entry,,,URINE,,
URINE- Clinical Microscopy,4,Age,patient_header,Manual Entry,,,URINE,,
URINE- Clinical Microscopy,5,Sex,patient_header,Predefined Selection,,,URINE,,
URINE- Clinical Microscopy,6,Date/Time,patient_header,Predefined Selection,,,URINE,,
URINE- Clinical Microscopy,7,Examination,patient_header,Predefined Selection,,,URINE,,
URINE- Clinical Microscopy,8,Requesting Physician,patient_header,Predefined Selection,,,URINE,,
URINE- Clinical Microscopy,9,Room,patient_header,Predefined Selection,,,URINE,,
URINE- Clinical Microscopy,10,Case Number,patient_header,Manual Entry,,,URINE,,
URINE- Clinical Microscopy,11,MACROSCOPIC FINDING,section_header,,,,URINE,,
URINE- Clinical Microscopy,12,Color,test_input,Predefined Selection,,,URINE,R1,mapped
URINE- Clinical Microscopy,13,Transparency,test_input,Predefined Selection,,,URINE,R2,mapped
URINE- Clinical Microscopy,14,Reaction,test_input,Predefined Selection,,,URINE,R3,mapped
URINE- Clinical Microscopy,15,Specific Gravity,test_input,Predefined Selection,,,URINE,R4,mapped
URINE- Clinical Microscopy,16,CLINICAL FINDING,section_header,,,,URINE,,
URINE- Clinical Microscopy,17,Sugar,test_input,Predefined Selection,,,URINE,R5,mapped
URINE- Clinical Microscopy,18,Protein,test_input,Predefined Selection,,,URINE,R6,mapped
URINE- Clinical Microscopy,19,MICROSCOPIC FINDING,section_header,,,,URINE,,
URINE- Clinical Microscopy,20,White Blood Cell,test_input,Manual Entry,,,URINE,R9,mapped
URINE- Clinical Microscopy,21,Red Blood Cell,test_input,Manual Entry,,,URINE,R8,mapped
URINE- Clinical Microscopy,22,Epithelial Cell,test_input,Predefined Selection,,,URINE,R10,mapped
URINE- Clinical Microscopy,23,Amorphous Urates,test_input,Predefined Selection,,,URINE,R11,mapped
URINE- Clinical Microscopy,24,Amorphous Phosphate,test_input,Predefined Selection,,,URINE,R12,mapped
URINE- Clinical Microscopy,25,Calcium Oxalate,test_input,Predefined Selection,,,URINE,R13,mapped
URINE- Clinical Microscopy,26,Uric Acid Crystal,test_input,Predefined Selection,,,URINE,R14,mapped
URINE- Clinical Microscopy,27,Mucus Thread,test_input,Predefined Selection,,,URINE,R15,mapped
URINE- Clinical Microscopy,28,Bacteria,test_input,Predefined Selection,,,URINE,R16,mapped
URINE- Clinical Microscopy,30,Others,other_input,Manual Entry,,,URINE,,
URINE- Clinical Microscopy,32,Pregnancy Test,test_input,Predefined Selection,,,URINE,R7,mapped
URINE- Clinical Microscopy,34,Medical Technologist,signatory,Predefined Selection,,,URINE,,
URINE- Clinical Microscopy,35,Medical Technologist,signatory,Predefined Selection,,,URINE,,
URINE- Clinical Microscopy,36,Pathologist,signatory,Fixed including the signature,,,URINE,,
SEROLOGY,2,PATIENT INFORMATION,section_header,,,,SEROLOGY,,
SEROLOGY,3,Name,patient_header,Manual Entry,,,SEROLOGY,,
SEROLOGY,4,Age,patient_header,Manual Entry,,,SEROLOGY,,
SEROLOGY,5,Sex,patient_header,Predefined Selection,,,SEROLOGY,,
SEROLOGY,6,Date/Time,patient_header,Predefined Selection,,,SEROLOGY,,
SEROLOGY,7,Examination,patient_header,Predefined Selection,,,SEROLOGY,,
SEROLOGY,8,Requesting Physician,patient_header,Predefined Selection,,,SEROLOGY,,
SEROLOGY,9,Room,patient_header,Predefined Selection,,,SEROLOGY,,
SEROLOGY,10,Case Number,patient_header,Manual Entry,,,SEROLOGY,,
SEROLOGY,11,TYPHIDOT,section_header,,,,SEROLOGY,,
SEROLOGY,12,IgM,test_input,Predefined Selection,,,SEROLOGY,R1,mapped
SEROLOGY,13,IgG,test_input,Predefined Selection,,,SEROLOGY,R2,mapped
SEROLOGY,14,DENGUE TEST,section_header,,,,SEROLOGY,,
SEROLOGY,15,Ns1Ag,test_input,Predefined Selection,,,SEROLOGY,R3,mapped
SEROLOGY,16,IgM,test_input,Predefined Selection,,,SEROLOGY,R4,mapped
SEROLOGY,17,IgG,test_input,Predefined Selection,,,SEROLOGY,R5,mapped
SEROLOGY,18,MALARIAL TEST,section_header,,,,SEROLOGY,,
SEROLOGY,19,ANTI-PLASMODIUM FALCIFARUM,test_input,Predefined Selection,,,SEROLOGY,R6,mapped
SEROLOGY,20,ANTI PLASMODIUM VIVAX,test_input,Predefined Selection,,,SEROLOGY,R7,mapped
SEROLOGY,22,HbsAg SCREENING:,test_input,Predefined Selection,,,SEROLOGY,R9,mapped
SEROLOGY,23,VDRL:,test_input,Predefined Selection,,,SEROLOGY,R8,mapped
SEROLOGY,24,ANTI-HCV:,test_input,Predefined Selection,,,SEROLOGY,R1,mapped
SEROLOGY,25,ASO TITER:,test_input,Predefined Selection,,,SEROLOGY,R11,mapped
SEROLOGY,27,OTHERS,other_input,Manual Entry,,,SEROLOGY,,
SEROLOGY,29,Medical Technologist,signatory,Predefined Selection,,,SEROLOGY,,
SEROLOGY,30,Medical Technologist,signatory,Predefined Selection,,,SEROLOGY,,
SEROLOGY,31,Pathologist,signatory,Fixed including the signature,,,SEROLOGY,,
SEMEN - Clinical Microscopy,2,PATIENT INFORMATION,section_header,,,,SEMEN,,
SEMEN - Clinical Microscopy,3,Name,patient_header,Manual Entry,,,SEMEN,,
SEMEN - Clinical Microscopy,4,Age,patient_header,Manual Entry,,,SEMEN,,
SEMEN - Clinical Microscopy,5,Sex,patient_header,Predefined Selection,,,SEMEN,,
SEMEN - Clinical Microscopy,6,Date,patient_header,Predefined Selection,,,SEMEN,,
SEMEN - Clinical Microscopy,7,Examination,patient_header,Predefined Selection,,,SEMEN,,
SEMEN - Clinical Microscopy,8,Requesting Physician,patient_header,Predefined Selection,,,SEMEN,,
SEMEN - Clinical Microscopy,9,Room,patient_header,Predefined Selection,,,SEMEN,,
SEMEN - Clinical Microscopy,10,Case Number,patient_header,Manual Entry,,,SEMEN,,
SEMEN - Clinical Microscopy,12,TIME COLLECTED:,test_input,Manual Entry,,,SEMEN,R1,mapped
SEMEN - Clinical Microscopy,13,TIME RECEIVED:,test_input,Manual Entry,,,SEMEN,R2,mapped
SEMEN - Clinical Microscopy,14,TOTAL VOLUME:,test_input,Manual Entry,,,SEMEN,R3,mapped
SEMEN - Clinical Microscopy,15,LIQUEFACTION TIME:,test_input,Manual Entry,,,SEMEN,R4,mapped
SEMEN - Clinical Microscopy,16,MOTILITY,section_header,,,,SEMEN,,
SEMEN - Clinical Microscopy,17,MOTILE:,test_input,Manual Entry,,,SEMEN,R5,mapped
SEMEN - Clinical Microscopy,18,NON MOTILE:,test_input,Manual Entry,,,SEMEN,R6,mapped
SEMEN - Clinical Microscopy,19,MORPHOLOGY,section_header,,,,SEMEN,,
SEMEN - Clinical Microscopy,20,NORMAL,test_input,Manual Entry,,,SEMEN,R7,mapped
SEMEN - Clinical Microscopy,21,ABNORMAL,test_input,Manual Entry,,,SEMEN,R8,mapped
SEMEN - Clinical Microscopy,22,SPERM COUNT,test_input,,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,,SEMEN,R1,mapped
SEMEN - Clinical Microscopy,23,RESULT,test_input,Manual Entry,,,SEMEN,R9,mapped
SEMEN - Clinical Microscopy,24,OTHERS,other_input,,,,SEMEN,,
SEMEN - Clinical Microscopy,25,WBC,test_input,Manual Entry,,,SEMEN,R1,mapped
SEMEN - Clinical Microscopy,26,RBC,test_input,Manual Entry,,,SEMEN,R1,mapped
SEMEN - Clinical Microscopy,27,EPITHELIAL CELL,test_input,Predefined Selection,,,SEMEN,R12,mapped
SEMEN - Clinical Microscopy,29,Medical Technologist,signatory,Predefined Selection,,,SEMEN,,
SEMEN - Clinical Microscopy,30,Medical Technologist,signatory,Predefined Selection,,,SEMEN,,
SEMEN - Clinical Microscopy,31,Pathologist,signatory,Fixed including the signature,,,SEMEN,,
OGTT - Blood Chemistry,2,PATIENT INFORMATION,section_header,,,,OGTT,,
OGTT - Blood Chemistry,3,Name,patient_header,Manual Entry,,,OGTT,,
OGTT - Blood Chemistry,4,Age,patient_header,Manual Entry,,,OGTT,,
OGTT - Blood Chemistry,5,Sex,patient_header,Predefined Selection,,,OGTT,,
OGTT - Blood Chemistry,6,Date,patient_header,Predefined Selection,,,OGTT,,
OGTT - Blood Chemistry,7,Examination,patient_header,Predefined Selection,,,OGTT,,
OGTT - Blood Chemistry,8,Requesting Physician,patient_header,Predefined Selection,,,OGTT,,
OGTT - Blood Chemistry,9,Room,patient_header,Predefined Selection,,,OGTT,,
OGTT - Blood Chemistry,10,Case Number,patient_header,Manual Entry,,,OGTT,,
OGTT - Blood Chemistry,11,50G ORAL GLUCOSE TOLERANCE,section_header,,,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,OGTT,,
OGTT - Blood Chemistry,12,1ST HOUR,test_input,Manual Entry,< 200 mg/dl,,OGTT,R1,mapped
OGTT - Blood Chemistry,13,2ND HOUR,test_input,Manual Entry,< 140 mg/d,,OGTT,R2,mapped
OGTT - Blood Chemistry,14,75G ORAL GLUCOSE TOLERANCE,section_header,,,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,OGTT,,
OGTT - Blood Chemistry,15,FASTING BLOOD SUGAR,test_input,Manual Entry,70.27-124.32 mg/dl,,OGTT,R3,mapped
OGTT - Blood Chemistry,16,1ST HOUR,test_input,Manual Entry,< 200 mg/dl,,OGTT,R4,mapped
OGTT - Blood Chemistry,17,2ND HOUR,test_input,Manual Entry,< 140 mg/dl,,OGTT,R5,mapped
OGTT - Blood Chemistry,18,100G ORAL GLUCOSE TOLERANCE,section_header,,,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,OGTT,,
OGTT - Blood Chemistry,19,FASTING BLOOD SUGAR,test_input,Manual Entry,70.27-124.32 mg/dl,,OGTT,R6,mapped
OGTT - Blood Chemistry,20,1ST HOUR,test_input,Manual Entry,< 180 mg/dl,,OGTT,R7,mapped
